SMA5,EMA5,SMA10,EMA10,SMA50,EMA50,SMA100,EMA100,Close
0.3339284,0.3324150746,0.3113837,0.3200759829,0.35151782,0.3483376636,0.42638395,0.3405203851,0.34375
0.3348214,0.3294970497,0.3165177,0.3207278042,0.34915176,0.3473699513,0.42426342,0.3401865359,0.323661
0.3348214,0.3297836998,0.3223213,0.3224785671,0.34678568,0.3467027768,0.42196431,0.3399918916,0.330357
0.3334822,0.3284867999,0.3254463,0.3230993731,0.34406246,0.3458867071,0.41964288,0.3397127056,0.325893
0.33125,0.3298541999,0.3283481,0.3248247598,0.34169638,0.3453652284,0.41707591,0.3395716422,0.332589
0.3325892,0.3367181333,0.3332588,0.3294831671,0.33968744,0.3455644743,0.41468751,0.339786976,0.350446
0.3379462,0.3412940889,0.3363838,0.3332945913,0.33794636,0.3457559067,0.41227679,0.3399980458,0.350446
0.3415176,0.3436007259,0.3381695,0.336007211,0.33633922,0.3458523025,0.40984375,0.3401607379,0.348214
0.3441962,0.3421624839,0.3388392,0.3366033545,0.33482136,0.3455948005,0.40761161,0.3401434164,0.339286
0.3455356,0.341203656,0.3383928,0.3370911082,0.33343744,0.3453473965,0.40537947,0.3401264378,0.339286
0.3446428,0.3427964373,0.338616,0.338707634,0.3324553,0.3453722829,0.40310268,0.3402423896,0.345982
0.3459822,0.3475786249,0.3419642,0.3420595187,0.33187494,0.3458338797,0.40102679,0.3405770551,0.357143
0.3468752,0.3492787499,0.3441964,0.3439903335,0.3312946,0.3461023158,0.39910715,0.3408166976,0.352679
0.3504466,0.3519001666,0.3473214,0.3463817274,0.33071424,0.3465352838,0.39712054,0.3411399907,0.357143
0.354018,0.3536477777,0.3497768,0.3483383224,0.3306696,0.3469512727,0.39506697,0.341456882,0.357143
0.3553574,0.3533248518,0.3500001,0.3491275365,0.3309821,0.3471758894,0.39272322,0.3416791021,0.352679
0.3526788,0.3501332346,0.3493305,0.3481498026,0.33093746,0.3470415408,0.39035715,0.34172011,0.34375
0.3459822,0.339820823,0.3464287,0.3428854749,0.33053566,0.3459495588,0.38776786,0.341274088,0.319196
0.3388394,0.3336902154,0.344643,0.3389842976,0.33013388,0.3449879683,0.38531251,0.340881116,0.321429
0.3325894,0.3310911436,0.3433037,0.3366040617,0.32946424,0.344239146,0.38299108,0.3405843216,0.325893
0.3276786,0.330102429,0.341518,0.3350624141,0.32883924,0.3436072187,0.38071429,0.3403376024,0.328125
0.3263394,0.3324196194,0.3395091,0.3354245206,0.3279464,0.3433502297,0.37868304,0.3402725805,0.337054
0.332143,0.3376844129,0.3390626,0.3377498805,0.32714282,0.3435409658,0.37696429,0.3404298364,0.348214
0.3325894,0.3330099419,0.3357144,0.3351882659,0.32624996,0.3427613593,0.37491072,0.3400977802,0.323661
0.33125,0.3284052946,0.3319197,0.3322805812,0.3253571,0.3418372276,0.37294643,0.3396838836,0.319196
0.3308036,0.3275678631,0.3292411,0.3311192028,0.32482138,0.3412119637,0.3709375,0.3394107968,0.325893
0.3308036,0.3307299087,0.3285715,0.3321982568,0.32450888,0.3410489063,0.36910715,0.3393641275,0.337054
0.3285716,0.3328379391,0.3303573,0.3330811192,0.32415174,0.3408922434,0.36745537,0.3393183824,0.337054
